episode,epsilon,moves,return,won,replay_size,loss,rolling_success_100
90,0.90606,23,-12.0,True,2369,0.004177026450634003,0.2111111111111111
91,0.905,2,-11.0,False,2371,0.009777238592505455,0.2087912087912088
92,0.90394,50,-50.0,False,2421,0.003010752145200968,0.20652173913043478
93,0.90289,50,-50.0,False,2471,0.003971918486058712,0.20430107526881722
94,0.90183,24,-33.0,False,2495,0.003520198632031679,0.20212765957446807
95,0.90078,24,-13.0,True,2519,0.006225117947906256,0.21052631578947367
96,0.89972,23,-32.0,False,2542,0.008759904652833939,0.20833333333333334
97,0.89867,5,-14.0,False,2547,0.0036729879211634398,0.20618556701030927
98,0.89761,46,-35.0,True,2593,0.004498139955103397,0.21428571428571427
99,0.89656,50,-50.0,False,2643,0.0007976089837029576,0.21212121212121213
100,0.8955,2,-11.0,False,2645,0.0009259696234948933,0.21
101,0.89444,42,-31.0,True,2687,0.004349474795162678,0.22
102,0.89339,50,-50.0,False,2737,0.010458998382091522,0.22
103,0.89233,48,-57.0,False,2785,0.011601054109632969,0.22
104,0.89128,6,-15.0,False,2791,0.013052714057266712,0.22
105,0.89022,5,-14.0,False,2796,0.004597372375428677,0.22
106,0.88917,12,-21.0,False,2808,0.025302087888121605,0.22
107,0.88811,36,-25.0,True,2844,0.004790835548192263,0.23
108,0.88706,50,-59.0,False,2894,0.028288334608078003,0.23
109,0.886,46,-35.0,True,2940,0.0052788835018873215,0.24
110,0.88494,10,-19.0,False,2950,0.009148303419351578,0.23
111,0.88389,50,-50.0,False,3000,0.016353540122509003,0.22
112,0.88283,50,-50.0,False,3050,0.009278349578380585,0.22
113,0.88178,50,-50.0,False,3100,0.004602089989930391,0.21
114,0.88072,24,-33.0,False,3124,0.0065485271625220776,0.21
115,0.87967,16,-5.0,True,3140,0.006013148929923773,0.22
116,0.87861,29,-18.0,True,3169,0.005348426289856434,0.23
117,0.87756,29,-18.0,True,3198,0.0012054750695824623,0.24
118,0.8765,23,-12.0,True,3221,0.0012855820823460817,0.25
119,0.87544,35,-24.0,True,3256,0.00928787887096405,0.25
120,0.87439,7,-16.0,False,3263,0.017908204346895218,0.25
121,0.87333,50,-50.0,False,3313,0.004575000144541264,0.24
122,0.87228,2,-11.0,False,3315,0.006053512450307608,0.24
123,0.87122,29,-18.0,True,3344,0.00386429182253778,0.25
124,0.87017,18,-27.0,False,3362,0.0031504773069173098,0.25
125,0.86911,8,-17.0,False,3370,0.00884582195430994,0.25
126,0.86806,21,-10.0,True,3391,0.0016289129853248596,0.25
127,0.867,11,-20.0,False,3402,0.002082102233543992,0.25
128,0.86594,31,-40.0,False,3433,0.004516851622611284,0.25
129,0.86489,36,-25.0,True,3469,0.03427693247795105,0.25
130,0.86383,7,-16.0,False,3476,0.010314026847481728,0.25
131,0.86278,26,-15.0,True,3502,0.017182068899273872,0.26
132,0.86172,17,-6.0,True,3519,0.005628047976642847,0.26
133,0.86067,35,-44.0,False,3554,0.012415166012942791,0.26
134,0.85961,11,0.0,True,3565,0.05810065567493439,0.27
135,0.85856,21,-30.0,False,3586,0.07936520129442215,0.27
136,0.8575,38,-27.0,True,3624,0.022376026958227158,0.28
137,0.85644,11,0.0,True,3635,0.07209067046642303,0.29
138,0.85539,42,-51.0,False,3677,0.04840666800737381,0.29
139,0.85433,50,-50.0,False,3727,0.06706272065639496,0.29
140,0.85328,36,-25.0,True,3763,0.09653870761394501,0.29
141,0.85222,19,-8.0,True,3782,0.18974342942237854,0.3
142,0.85117,5,-14.0,False,3787,0.0989043116569519,0.3
143,0.85011,27,-16.0,True,3814,0.2720964252948761,0.3
144,0.84906,13,-22.0,False,3827,0.1737651228904724,0.3
145,0.848,31,-20.0,True,3858,0.12175114452838898,0.31
146,0.84694,41,-30.0,True,3899,0.011495373211801052,0.32
147,0.84589,45,-34.0,True,3944,0.015170052647590637,0.33
148,0.84483,50,-50.0,False,3994,0.02616787701845169,0.33
149,0.84378,50,-39.0,True,4044,0.011131765320897102,0.33
150,0.84272,50,-50.0,False,4094,0.02353673428297043,0.33
151,0.84167,38,-27.0,True,4132,0.007700606714934111,0.34
152,0.84061,23,-32.0,False,4155,0.016909053549170494,0.34
153,0.83956,50,-50.0,False,4205,0.04149617254734039,0.34
154,0.8385,6,-15.0,False,4211,0.016061093658208847,0.34
155,0.83744,47,-36.0,True,4258,0.026795577257871628,0.35
156,0.83639,28,-17.0,True,4286,0.0787590965628624,0.36
157,0.83533,6,-15.0,False,4292,0.02745138481259346,0.36
158,0.83428,2,-11.0,False,4294,0.23197193443775177,0.35
159,0.83322,2,-11.0,False,4296,0.018459932878613472,0.34
160,0.83217,17,-26.0,False,4313,0.029610782861709595,0.34
161,0.83111,21,-10.0,True,4334,0.04296479374170303,0.35
162,0.83006,3,-12.0,False,4337,0.03529669716954231,0.35
163,0.829,50,-50.0,False,4387,0.025526562705636024,0.35
164,0.82794,41,-30.0,True,4428,0.019266240298748016,0.36
165,0.82689,27,-16.0,True,4455,0.04246330261230469,0.37
166,0.82583,50,-50.0,False,4505,0.07204234600067139,0.36
167,0.82478,2,-11.0,False,4507,0.009538063779473305,0.36
168,0.82372,37,-26.0,True,4544,0.1320333331823349,0.37
169,0.82267,44,-33.0,True,4588,0.020651141181588173,0.37
170,0.82161,31,-20.0,True,4619,0.011670921929180622,0.38
171,0.82056,3,-12.0,False,4622,0.012547124177217484,0.38
172,0.8195,32,-21.0,True,4654,0.02282988838851452,0.39
173,0.81844,5,-14.0,False,4659,0.028238598257303238,0.38
174,0.81739,5,-14.0,False,4664,0.026789918541908264,0.37
175,0.81633,13,-22.0,False,4677,0.015772690996527672,0.37
176,0.81528,2,-11.0,False,4679,0.013273987919092178,0.37
177,0.81422,12,-21.0,False,4691,0.05941937491297722,0.37
178,0.81317,14,-3.0,True,4705,0.025470659136772156,0.38
179,0.81211,8,-17.0,False,4713,0.03191797435283661,0.38
180,0.81106,34,-23.0,True,4747,0.010671896860003471,0.39
181,0.81,2,-11.0,False,4749,0.011960163712501526,0.39
182,0.80894,50,-50.0,False,4799,0.007648173253983259,0.39
183,0.80789,50,-50.0,False,4849,0.08399418741464615,0.39
184,0.80683,20,-9.0,True,4869,0.023734070360660553,0.4
185,0.80578,16,-25.0,False,4885,0.019337933510541916,0.4
186,0.80472,34,-23.0,True,4919,0.01566905342042446,0.4
187,0.80367,2,-11.0,False,4921,0.034575674682855606,0.4
188,0.80261,39,-28.0,True,4960,0.00895849522203207,0.41
189,0.80156,30,-19.0,True,4990,0.015267170034348965,0.42
190,0.8005,20,-9.0,True,5000,0.008899800479412079,0.42
191,0.79944,7,-16.0,False,5000,0.02425665780901909,0.42
192,0.79839,32,-21.0,True,5000,0.02134222909808159,0.43
193,0.79733,16,-5.0,True,5000,0.028413034975528717,0.44
194,0.79628,2,-11.0,False,5000,0.038855601102113724,0.44
195,0.79522,12,-21.0,False,5000,0.04624228924512863,0.43
196,0.79417,2,-11.0,False,5000,0.04792957752943039,0.43
197,0.79311,50,-50.0,False,5000,0.009165746159851551,0.43
198,0.79206,3,-12.0,False,5000,0.011239880695939064,0.42
199,0.791,9,-18.0,False,5000,0.007265803404152393,0.42
200,0.78994,2,-11.0,False,5000,0.006083570420742035,0.42
201,0.78889,2,-11.0,False,5000,0.0025804650504142046,0.41
202,0.78783,15,-4.0,True,5000,0.0034413649700582027,0.42
203,0.78678,8,-17.0,False,5000,0.008135254494845867,0.42
204,0.78572,17,-6.0,True,5000,0.030606219545006752,0.43
205,0.78467,14,-23.0,False,5000,0.003359501715749502,0.43
206,0.78361,11,0.0,True,5000,0.003996261861175299,0.44
207,0.78256,2,-11.0,False,5000,0.0022699953988194466,0.43
208,0.7815,8,3.0,True,5000,0.003681946313008666,0.44
209,0.78044,23,-12.0,True,5000,0.01185382716357708,0.44
210,0.77939,2,-11.0,False,5000,0.007548309862613678,0.44
211,0.77833,21,-30.0,False,5000,0.0034152185544371605,0.44
212,0.77728,23,-12.0,True,5000,0.007147864904254675,0.45
213,0.77622,48,-37.0,True,5000,0.005200590472668409,0.46
214,0.77517,27,-16.0,True,5000,0.0060567837208509445,0.47
215,0.77411,37,-26.0,True,5000,0.00919949822127819,0.47
216,0.77306,32,-21.0,True,5000,0.009362714365124702,0.47
217,0.772,30,-19.0,True,5000,0.001552642323076725,0.47
218,0.77094,14,-3.0,True,5000,0.0016362359747290611,0.47
219,0.76989,19,-8.0,True,5000,0.00052864127792418,0.47
220,0.76883,14,-3.0,True,5000,0.001979798311367631,0.48
221,0.76778,16,-25.0,False,5000,0.0026371246203780174,0.48
222,0.76672,40,-29.0,True,5000,0.0013877653982490301,0.49
223,0.76567,50,-50.0,False,5000,0.0005611117812804878,0.48
224,0.76461,11,-20.0,False,5000,0.00106625456828624,0.48
225,0.76356,50,-50.0,False,5000,0.0005223098560236394,0.48
226,0.7625,14,-3.0,True,5000,0.0005159216234460473,0.48
227,0.76144,3,-12.0,False,5000,0.0004428447282407433,0.48
228,0.76039,18,-7.0,True,5000,0.00041680983849801123,0.49
229,0.75933,18,-7.0,True,5000,0.0004696227260865271,0.49
230,0.75828,24,-13.0,True,5000,0.0002901383559219539,0.5
231,0.75722,10,-19.0,False,5000,0.00024855081574060023,0.49
232,0.75617,39,-28.0,True,5000,0.0007124780095182359,0.49
233,0.75511,25,-14.0,True,5000,0.0002434738853480667,0.5
234,0.75406,18,-7.0,True,5000,0.0004944511456415057,0.5
235,0.753,30,-19.0,True,5000,0.0005973635707050562,0.51
236,0.75194,45,-34.0,True,5000,0.003191207069903612,0.51
237,0.75089,44,-53.0,False,5000,0.00695677800104022,0.5
238,0.74983,50,-50.0,False,5000,0.012299653142690659,0.5
239,0.74878,3,-12.0,False,5000,0.013250620104372501,0.5
240,0.74772,11,0.0,True,5000,0.009225254878401756,0.5
241,0.74667,2,-11.0,False,5000,0.012573438696563244,0.49
242,0.74561,9,-18.0,False,5000,0.017489729449152946,0.49
243,0.74456,50,-50.0,False,5000,0.004066873341798782,0.48
244,0.7435,7,-16.0,False,5000,0.002202079864218831,0.48
245,0.74244,20,-9.0,True,5000,0.0009972236584872007,0.48
246,0.74139,7,-16.0,False,5000,0.0008712570415809751,0.47
247,0.74033,33,-22.0,True,5000,0.000941246107686311,0.47
248,0.73928,50,-50.0,False,5000,0.0015495659317821264,0.47
249,0.73822,19,-8.0,True,5000,0.0028832396492362022,0.47
250,0.73717,21,-10.0,True,5000,0.0036724356468766928,0.48
251,0.73611,10,1.0,True,5000,0.0015558833256363869,0.48
252,0.73506,4,-13.0,False,5000,0.002407937543466687,0.48
253,0.734,17,-6.0,True,5000,0.011763387359678745,0.49
254,0.73294,41,-30.0,True,5000,0.01495444867759943,0.5
255,0.73189,39,-28.0,True,5000,0.008583834394812584,0.5
256,0.73083,22,-11.0,True,5000,0.016856489703059196,0.5
257,0.72978,15,-4.0,True,5000,0.014342822134494781,0.51
258,0.72872,25,-14.0,True,5000,0.006891127210110426,0.52
259,0.72767,11,0.0,True,5000,0.009370587766170502,0.53
260,0.72661,7,-16.0,False,5000,0.013642395846545696,0.53
261,0.72556,9,2.0,True,5000,0.009555675089359283,0.53
262,0.7245,49,-38.0,True,5000,0.003322136588394642,0.54
263,0.72344,3,-12.0,False,5000,0.006160750985145569,0.54
264,0.72239,16,-5.0,True,5000,0.009539010003209114,0.54
265,0.72133,23,-12.0,True,5000,0.01887948252260685,0.54
266,0.72028,15,-24.0,False,5000,0.01802258938550949,0.54
267,0.71922,47,-36.0,True,5000,0.11059471219778061,0.55
268,0.71817,14,-3.0,True,5000,0.1571003496646881,0.55
269,0.71711,2,-11.0,False,5000,0.2059531807899475,0.54
270,0.71606,19,-8.0,True,5000,0.03140826150774956,0.54
271,0.715,23,-12.0,True,5000,0.160935640335083,0.55
272,0.71394,18,-7.0,True,5000,0.30010002851486206,0.55
273,0.71289,40,-29.0,True,5000,0.07779634743928909,0.56
274,0.71183,25,-14.0,True,5000,0.08511022478342056,0.57
275,0.71078,32,-21.0,True,5000,0.10787069797515869,0.58
276,0.70972,26,-15.0,True,5000,0.27466508746147156,0.59
277,0.70867,31,-20.0,True,5000,0.21139854192733765,0.6
278,0.70761,11,0.0,True,5000,0.2841717302799225,0.6
279,0.70656,25,-14.0,True,5000,0.34002044796943665,0.61
280,0.7055,19,-8.0,True,5000,0.40965598821640015,0.61
281,0.70444,20,-9.0,True,5000,1.038438081741333,0.62
282,0.70339,37,-26.0,True,5000,0.42001134157180786,0.63
283,0.70233,37,-26.0,True,5000,1.303619146347046,0.64
284,0.70128,14,-3.0,True,5000,0.6479939222335815,0.64
285,0.70022,7,-16.0,False,5000,0.3680531084537506,0.64
286,0.69917,48,-57.0,False,5000,0.5102818608283997,0.63
287,0.69811,28,-17.0,True,5000,0.31064149737358093,0.64
288,0.69706,10,1.0,True,5000,0.3466380536556244,0.64
289,0.696,7,4.0,True,5000,0.3372076451778412,0.64
290,0.69494,26,-15.0,True,5000,0.2597191333770752,0.64
291,0.69389,21,-30.0,False,5000,0.10471783578395844,0.64
292,0.69283,13,-2.0,True,5000,0.21848934888839722,0.64
293,0.69178,11,0.0,True,5000,0.45665472745895386,0.64
294,0.69072,35,-24.0,True,5000,0.22556881606578827,0.65
295,0.68967,41,-30.0,True,5000,0.25701048970222473,0.66
296,0.68861,30,-19.0,True,5000,0.17690178751945496,0.67
297,0.68756,2,-11.0,False,5000,0.28562796115875244,0.67
298,0.6865,15,-4.0,True,5000,0.13725821673870087,0.68
299,0.68544,19,-8.0,True,5000,0.12549541890621185,0.69
300,0.68439,20,-9.0,True,5000,0.20483528077602386,0.7
301,0.68333,50,-50.0,False,5000,0.32769775390625,0.7
302,0.68228,34,-23.0,True,5000,0.6086581349372864,0.7
303,0.68122,40,-29.0,True,5000,0.18591538071632385,0.71
304,0.68017,11,0.0,True,5000,0.2063906490802765,0.71
305,0.67911,16,-5.0,True,5000,0.04227616637945175,0.72
306,0.67806,11,0.0,True,5000,0.06884713470935822,0.72
307,0.677,22,-11.0,True,5000,0.3191797435283661,0.73
308,0.67594,18,-7.0,True,5000,0.430250883102417,0.73
309,0.67489,7,-16.0,False,5000,0.3452548682689667,0.72
310,0.67383,7,4.0,True,5000,0.19514231383800507,0.73
311,0.67278,27,-16.0,True,5000,0.0901033952832222,0.74
312,0.67172,11,0.0,True,5000,0.14264827966690063,0.74
313,0.67067,24,-13.0,True,5000,0.08559637516736984,0.74
314,0.66961,31,-20.0,True,5000,0.04824421554803848,0.74
315,0.66856,4,-13.0,False,5000,0.05054131895303726,0.73
316,0.6675,10,1.0,True,5000,0.08513259142637253,0.73
317,0.66644,4,-13.0,False,5000,0.09570608288049698,0.72
318,0.66539,23,-12.0,True,5000,0.11739441007375717,0.72
319,0.66433,16,-25.0,False,5000,0.1881883442401886,0.71
320,0.66328,19,-28.0,False,5000,0.24155975878238678,0.7
321,0.66222,12,-1.0,True,5000,0.0893954336643219,0.71
322,0.66117,18,-7.0,True,5000,0.17686457931995392,0.71
323,0.66011,50,-50.0,False,5000,0.15849697589874268,0.71
324,0.65906,23,-12.0,True,5000,0.03822207450866699,0.72
325,0.658,35,-24.0,True,5000,0.1832064986228943,0.73
326,0.65694,31,-20.0,True,5000,0.3554079532623291,0.73
327,0.65589,14,-3.0,True,5000,0.346089243888855,0.74
328,0.65483,37,-26.0,True,5000,0.2540367841720581,0.74
329,0.65378,3,-12.0,False,5000,0.18462146818637848,0.73
330,0.65272,16,-5.0,True,5000,0.3779135048389435,0.73
331,0.65167,13,-2.0,True,5000,0.44507306814193726,0.74
332,0.65061,17,-6.0,True,5000,0.36278048157691956,0.74
333,0.64956,23,-12.0,True,5000,0.20995911955833435,0.74
334,0.6485,24,-13.0,True,5000,0.15122702717781067,0.74
335,0.64744,12,-1.0,True,5000,0.18134132027626038,0.74
336,0.64639,18,-7.0,True,5000,0.6309468150138855,0.74
337,0.64533,13,-2.0,True,5000,1.02922785282135,0.75
338,0.64428,7,-16.0,False,5000,0.6704372763633728,0.75
339,0.64322,2,-11.0,False,5000,0.45153433084487915,0.75
340,0.64217,26,-15.0,True,5000,0.21043729782104492,0.75
341,0.64111,19,-8.0,True,5000,0.22351650893688202,0.76
342,0.64006,36,-25.0,True,5000,0.20011010766029358,0.77
343,0.639,8,3.0,True,5000,0.08482713252305984,0.78
344,0.63794,8,3.0,True,5000,0.07719209045171738,0.79
345,0.63689,8,3.0,True,5000,0.04022708535194397,0.79
346,0.63583,46,-35.0,True,5000,0.15488527715206146,0.8
347,0.63478,3,-12.0,False,5000,0.1410026252269745,0.79
348,0.63372,2,-11.0,False,5000,0.14347949624061584,0.79
349,0.63267,7,-16.0,False,5000,0.16160725057125092,0.78
350,0.63161,33,-22.0,True,5000,0.16625763475894928,0.78
351,0.63056,12,-1.0,True,5000,0.16705727577209473,0.78
352,0.6295,26,-15.0,True,5000,0.13934628665447235,0.79
353,0.62844,18,-7.0,True,5000,0.2690626382827759,0.79
354,0.62739,19,-8.0,True,5000,0.13440771400928497,0.79
355,0.62633,8,3.0,True,5000,0.09026356041431427,0.79
356,0.62528,18,-7.0,True,5000,0.13407796621322632,0.79
357,0.62422,5,-14.0,False,5000,0.17874857783317566,0.78
358,0.62317,3,-12.0,False,5000,0.14881634712219238,0.77
359,0.62211,13,-2.0,True,5000,0.31022533774375916,0.77
360,0.62106,21,-10.0,True,5000,0.16663813591003418,0.78
361,0.62,14,-3.0,True,5000,0.07298644632101059,0.78
362,0.61894,16,-5.0,True,5000,0.12675735354423523,0.78
363,0.61789,44,-33.0,True,5000,0.08533523231744766,0.79
364,0.61683,18,-7.0,True,5000,0.17752638459205627,0.79
365,0.61578,18,-7.0,True,5000,0.06833826005458832,0.79
366,0.61472,9,2.0,True,5000,0.1060953140258789,0.8
367,0.61367,13,-2.0,True,5000,0.16419729590415955,0.8
368,0.61261,18,-7.0,True,5000,0.2016163170337677,0.8
369,0.61156,19,-8.0,True,5000,0.2164488434791565,0.81
370,0.6105,10,1.0,True,5000,0.1732868105173111,0.81
371,0.60944,10,1.0,True,5000,0.09270448237657547,0.81
372,0.60839,13,-2.0,True,5000,0.16382671892642975,0.81
373,0.60733,20,-9.0,True,5000,0.1141466423869133,0.81
374,0.60628,11,0.0,True,5000,0.06356809288263321,0.81
375,0.60522,20,-9.0,True,5000,0.12368874996900558,0.81
376,0.60417,9,2.0,True,5000,0.10476525872945786,0.81
377,0.60311,9,2.0,True,5000,0.13275232911109924,0.81
378,0.60206,19,-8.0,True,5000,0.10029156506061554,0.81
379,0.601,12,-1.0,True,5000,0.13978230953216553,0.81
380,0.59994,24,-13.0,True,5000,0.1473049819469452,0.81
381,0.59889,2,-11.0,False,5000,0.2800929546356201,0.8
382,0.59783,20,-9.0,True,5000,0.14319096505641937,0.8
383,0.59678,16,-5.0,True,5000,0.1293065994977951,0.8
384,0.59572,26,-15.0,True,5000,0.214919775724411,0.8
385,0.59467,25,-14.0,True,5000,0.20895537734031677,0.81
386,0.59361,25,-14.0,True,5000,0.04222553223371506,0.82
387,0.59256,19,-8.0,True,5000,0.12372953444719315,0.82
388,0.5915,9,2.0,True,5000,0.10771866142749786,0.82
389,0.59044,14,-3.0,True,5000,0.27375927567481995,0.82
390,0.58939,15,-4.0,True,5000,0.1468992829322815,0.82
391,0.58833,12,-1.0,True,5000,0.16114957630634308,0.83
392,0.58728,19,-8.0,True,5000,0.1366015374660492,0.83
393,0.58622,22,-11.0,True,5000,0.29973718523979187,0.83
394,0.58517,25,-14.0,True,5000,0.19283567368984222,0.83
395,0.58411,20,-9.0,True,5000,0.06799015402793884,0.83
396,0.58306,27,-16.0,True,5000,0.12191174924373627,0.83
397,0.582,11,0.0,True,5000,0.18484525382518768,0.84
398,0.58094,8,3.0,True,5000,0.2256147861480713,0.84
399,0.57989,11,0.0,True,5000,0.16551849246025085,0.84
400,0.57883,9,2.0,True,5000,0.11494195461273193,0.84
401,0.57778,7,4.0,True,5000,0.13044650852680206,0.85
402,0.57672,18,-7.0,True,5000,0.11352397501468658,0.85
403,0.57567,15,-4.0,True,5000,0.24289870262145996,0.85
404,0.57461,9,2.0,True,5000,0.1242968738079071,0.85
405,0.57356,29,-18.0,True,5000,0.12449382245540619,0.85
406,0.5725,14,-3.0,True,5000,0.07827619463205338,0.85
407,0.57144,18,-7.0,True,5000,0.06754918396472931,0.85
408,0.57039,17,-6.0,True,5000,0.08629503101110458,0.85
409,0.56933,2,-11.0,False,5000,0.08760422468185425,0.85
410,0.56828,15,-4.0,True,5000,0.1542099416255951,0.85
411,0.56722,28,-17.0,True,5000,0.04028598964214325,0.85
412,0.56617,13,-2.0,True,5000,0.059960540384054184,0.85
413,0.56511,13,-2.0,True,5000,0.11329501867294312,0.85
414,0.56406,17,-6.0,True,5000,0.09207884967327118,0.85
415,0.563,19,-8.0,True,5000,0.05357785522937775,0.86
416,0.56194,10,1.0,True,5000,0.03865116834640503,0.86
417,0.56089,15,-4.0,True,5000,0.0782848373055458,0.87
418,0.55983,2,-11.0,False,5000,0.08271045237779617,0.86
419,0.55878,2,-11.0,False,5000,0.09859681874513626,0.86
420,0.55772,7,4.0,True,5000,0.06329764425754547,0.87
421,0.55667,15,-4.0,True,5000,0.10472314059734344,0.87
422,0.55561,2,-11.0,False,5000,0.08426477760076523,0.86
423,0.55456,15,-4.0,True,5000,0.05600997805595398,0.87
424,0.5535,13,-2.0,True,5000,0.04582076519727707,0.87
