episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100
63,0.98317,15,-4.0,-3.8,True,840,329,0.5734405517578125,0.0007999723654713356,0.47619047619047616
64,0.9829,12,-21.0,-21.4,False,852,341,0.6361864805221558,0.000799969532973243,0.46875
65,0.98263,3,8.0,8.2,True,855,344,0.5455949306488037,0.0007999665623127212,0.47692307692307695
66,0.98236,12,-1.0,-0.6,True,867,356,0.62464439868927,0.0007999634534909429,0.48484848484848486
67,0.98209,4,-13.0,-12.8,False,871,360,0.449988454580307,0.0007999602065091356,0.47761194029850745
68,0.98181,10,1.0,1.6,True,881,370,0.613186240196228,0.0007999568213685811,0.4852941176470588
69,0.98154,13,-2.0,-1.4,True,894,383,0.5316779613494873,0.0007999532980706158,0.4927536231884058
70,0.98127,15,-24.0,-23.8,False,909,398,0.5424596667289734,0.0007999496366166305,0.4857142857142857
71,0.981,45,-45.0,-44.8,False,954,443,0.437086284160614,0.0007999458370080709,0.4788732394366197
72,0.98073,9,-18.0,-17.8,False,963,452,0.41532889008522034,0.0007999418992464368,0.4722222222222222
73,0.98046,9,-18.0,-18.0,False,972,461,0.3109884560108185,0.000799937823333283,0.4657534246575342
74,0.98019,16,-25.0,-24.4,False,988,477,0.3458458185195923,0.0007999336092702184,0.4594594594594595
75,0.97991,17,-26.0,-26.2,False,1005,494,0.25771304965019226,0.0007999292570589069,0.4533333333333333
76,0.97964,12,-1.0,-0.6,True,1017,506,0.5304734706878662,0.0007999247667010665,0.4605263157894737
77,0.97937,7,4.0,4.2,True,1024,513,0.6423211097717285,0.00079992013819847,0.4675324675324675
78,0.9791,13,-2.0,-1.2,True,1037,526,0.7392486929893494,0.0007999153715529444,0.47435897435897434
79,0.97883,5,6.0,6.0,True,1042,531,0.86133873462677,0.0007999104667663718,0.4810126582278481
80,0.97856,5,6.0,6.2,True,1047,536,0.7200867533683777,0.0007999054238406884,0.4875
81,0.97829,2,-11.0,-11.0,False,1049,538,0.6888421773910522,0.0007999002427778851,0.48148148148148145
82,0.97801,7,-16.0,-16.0,False,1056,545,0.6403242945671082,0.0007998949235800074,0.47560975609756095
83,0.97774,45,-45.0,-44.8,False,1101,590,0.5359141230583191,0.0007998894662491551,0.46987951807228917
84,0.97747,2,-11.0,-11.2,False,1103,592,0.20977675914764404,0.0007998838707874826,0.4642857142857143
85,0.9772,38,-27.0,-26.2,True,1141,630,0.42028623819351196,0.0007998781371971991,0.47058823529411764
86,0.97693,39,-48.0,-47.8,False,1180,669,0.33727020025253296,0.0007998722654805681,0.46511627906976744
87,0.97666,6,5.0,5.4,True,1186,675,0.3763220012187958,0.0007998662556399076,0.47126436781609193
88,0.97639,5,-14.0,-14.4,False,1191,680,0.2662704586982727,0.00079986010767759,0.4659090909090909
89,0.97611,45,-45.0,-44.8,False,1236,725,0.24879570305347443,0.0007998538215960427,0.4606741573033708
90,0.97584,12,-1.0,-0.6,True,1248,737,0.2083095759153366,0.0007998473973977471,0.4666666666666667
91,0.97557,1,10.0,10.0,True,1249,738,0.2289225459098816,0.0007998408350852397,0.4725274725274725
92,0.9753,45,-45.0,-45.0,False,1294,783,0.5672765374183655,0.0007998341346611111,0.4673913043478261
93,0.97503,3,8.0,8.0,True,1297,786,0.6141907572746277,0.0007998272961280063,0.4731182795698925
94,0.97476,2,-11.0,-11.2,False,1299,788,0.47096461057662964,0.0007998203194886251,0.46808510638297873
95,0.97449,10,-19.0,-18.6,False,1309,798,0.44692689180374146,0.0007998132047457219,0.4631578947368421
96,0.97421,1,10.0,10.0,True,1310,799,0.5016164779663086,0.0007998059519021055,0.46875
97,0.97394,9,-18.0,-17.8,False,1319,808,0.4548632800579071,0.000799798560960639,0.4639175257731959
98,0.97367,5,6.0,6.4,True,1324,813,0.46285176277160645,0.0007997910319242406,0.46938775510204084
99,0.9734,24,-33.0,-33.0,False,1348,837,0.3981490135192871,0.0007997833647958824,0.46464646464646464
100,0.97313,18,-7.0,-6.0,True,1366,855,0.39730948209762573,0.0007997755595785911,0.47
101,0.97286,9,2.0,2.2,True,1375,864,0.38188984990119934,0.0007997676162754485,0.48
102,0.97259,10,-19.0,-19.2,False,1385,874,0.3446597456932068,0.0007997595348895901,0.47
103,0.97231,37,-26.0,-25.8,True,1422,911,0.3285157084465027,0.0007997513154242065,0.48
104,0.97204,6,5.0,5.4,True,1428,917,0.35068783164024353,0.0007997429578825425,0.48
105,0.97177,8,3.0,3.4,True,1436,925,0.3150683343410492,0.0007997344622678975,0.48
106,0.9715,24,-13.0,-12.8,True,1460,949,0.39619389176368713,0.0007997258285836257,0.49
107,0.97123,2,-11.0,-11.0,False,1462,951,0.2702940106391907,0.0007997170568331352,0.48
108,0.97096,11,0.0,0.4,True,1473,962,0.3620922863483429,0.0007997081470198892,0.48
109,0.97069,7,4.0,4.0,True,1480,969,0.29660680890083313,0.0007996990991474051,0.48
110,0.97041,6,-15.0,-14.8,False,1486,975,0.20884685218334198,0.0007996899132192548,0.47
111,0.97014,12,-1.0,-0.8,True,1498,987,0.29689767956733704,0.0007996805892390648,0.48
112,0.96987,21,-10.0,-9.6,True,1519,1008,0.6820384860038757,0.0007996711272105161,0.49
113,0.9696,4,-13.0,-13.2,False,1523,1012,1.1632179021835327,0.0007996615271373439,0.48
114,0.96933,11,0.0,0.4,True,1534,1023,0.8586650490760803,0.0007996517890233384,0.48
115,0.96906,4,-13.0,-13.0,False,1538,1027,0.790819525718689,0.000799641912872344,0.48
116,0.96879,7,4.0,4.8,True,1545,1034,0.6860071420669556,0.0007996318986882597,0.49
117,0.96851,2,-11.0,-11.2,False,1547,1036,0.8154847621917725,0.000799621746475039,0.48
118,0.96824,18,-7.0,-6.6,True,1565,1054,0.570568859577179,0.0007996114562366897,0.48
119,0.96797,19,-8.0,-7.4,True,1584,1073,0.5260956883430481,0.0007996010279772741,0.49
120,0.9677,45,-45.0,-45.0,False,1629,1118,0.456622451543808,0.0007995904617009094,0.49
121,0.96743,1,10.0,10.0,True,1630,1119,0.4453831613063812,0.0007995797574117668,0.5
122,0.96716,5,-14.0,-14.0,False,1635,1124,0.3917282819747925,0.0007995689151140723,0.5
123,0.96689,45,-45.0,-45.0,False,1680,1169,0.36149102449417114,0.0007995579348121062,0.5
124,0.96661,25,-34.0,-34.0,False,1705,1194,0.33881688117980957,0.0007995468165102034,0.5
125,0.96634,4,-13.0,-12.8,False,1709,1198,0.3424415588378906,0.0007995355602127531,0.49
126,0.96607,3,-12.0,-12.4,False,1712,1201,0.2870957553386688,0.0007995241659241993,0.48
127,0.9658,17,-6.0,-5.8,True,1729,1218,0.3251936137676239,0.0007995126336490401,0.48
128,0.96553,2,-11.0,-10.8,False,1731,1220,0.2808161973953247,0.0007995009633918283,0.47
129,0.96526,9,2.0,2.0,True,1740,1229,0.3105260729789734,0.0007994891551571713,0.48
130,0.96499,32,-21.0,-20.4,True,1772,1261,0.6498552560806274,0.0007994772089497307,0.48
131,0.96471,8,-17.0,-16.8,False,1780,1269,0.8485602140426636,0.0007994651247742227,0.48
132,0.96444,35,-44.0,-44.0,False,1815,1304,0.6471118927001953,0.0007994529026354178,0.47
133,0.96417,11,-20.0,-19.8,False,1826,1315,0.49768131971359253,0.0007994405425381413,0.47
134,0.9639,17,-26.0,-26.2,False,1843,1332,0.4411923885345459,0.0007994280444872726,0.46
135,0.96363,26,-15.0,-14.6,True,1869,1358,0.4257712960243225,0.0007994154084877458,0.47
136,0.96336,3,8.0,8.4,True,1872,1361,0.3041166365146637,0.0007994026345445496,0.47
137,0.96309,9,-18.0,-17.8,False,1881,1370,0.3635370433330536,0.0007993897226627265,0.47
138,0.96281,15,-4.0,-3.6,True,1896,1385,0.36922529339790344,0.0007993766728473741,0.48
139,0.96254,5,6.0,6.0,True,1901,1390,0.44634756445884705,0.0007993634851036444,0.49
140,0.96227,4,-13.0,-13.0,False,1905,1394,0.4859641194343567,0.0007993501594367438,0.49
141,0.962,5,6.0,6.2,True,1910,1399,0.4445726275444031,0.0007993366958519326,0.5
